"","id","group","genotype","treatment","machine","other","date","timeofday","median_speed","distance_traveled_mm_p_min","turning_angle","meander","activitytime_ST","act_bouts_ST","pause_duration_ST","numb_pause_ST","activitytime_TT","act_bouts_TT","pause_length_TT","numb_pauses_TT","centrophobism_moving","centrophobism_sitting","number_of_walks","stripe_deviation","genotype","treatment","machine","other","date","timeofday","centrophobism_moving","centrophobism_sitting","stripe_deviation"
"16","115_CSHS","CS_HS_2ndcross","CS_HS","none","D","2ndcross",2013-09-20,2013-09-30 10:03:23,15.0400845157097,333.161620425231,5.9165218002113,0.361686820683991,142.499999523163,5,4.40000009536743,21,137.400000095367,4.15000009536743,5.70000004768372,22,-0.397769516728625,-0.738453554748313,9,7.07442556349231,"CS_HS","none","D","2ndcross",2013-09-20,2013-09-30 10:03:23,-0.397769516728625,-0.738453554748313,7.07442556349231
"17","116_CSTZ","CS_TZ_2ndcross","CS_TZ","none","A","2ndcross",2013-09-20,2013-09-30 09:02:35,16.4458535986374,559.448643819633,6.6415191380091,0.370782071300769,198.000000238419,11.6999999284744,0.74999988079071,10,197,9.14999997615814,1.39999985694885,9,0.436341161928307,-0.467148014440433,14,29.8137906343903,"CS_TZ","none","A","2ndcross",2013-09-20,2013-09-30 09:02:35,0.436341161928307,-0.467148014440433,29.8137906343903
"18","117_CSTZ","CS_TZ_2ndcross","CS_TZ","none","B","2ndcross",2013-09-20,2013-09-30 09:12:13,12.896540339053,60.2270539197681,11.6131908545589,0.82839549502646,35.4000000953674,1.29999995231628,4,11,35.5000002384186,0.550000071525574,11.3999998569489,19,0.323809523809524,-0.910490511994271,0,33.5986150045939,"CS_TZ","none","B","2ndcross",2013-09-20,2013-09-30 09:12:13,0.323809523809524,-0.910490511994271,33.5986150045939
"19","118_CSTZ","CS_TZ_2ndcross","CS_TZ","none","C","2ndcross",2013-09-20,2013-09-30 09:27:26,21.6350837464293,832.369508706354,5.74553668643794,0.24687917640193,268.400000095367,3.89999997615814,0.700000047683716,29,269.999999761581,7.89999997615814,1.29999995231628,19,-0.0336633663366337,0.72736520854527,31,10.5046372214744,"CS_TZ","none","C","2ndcross",2013-09-20,2013-09-30 09:27:26,-0.0336633663366337,0.72736520854527,10.5046372214744
"20","119_CSTZ","CS_TZ_2ndcross","CS_TZ","none","D","2ndcross",2013-09-20,2013-09-30 09:55:02,14.7033046398303,523.296728951988,7.74348162895568,0.491716412188396,231.200000286102,6.20000004768372,1.15000009536743,22,226.89999961853,5.39999997615814,2,21,0.380165289256198,0.141329258976318,12,27.9814019772269,"CS_TZ","none","D","2ndcross",2013-09-20,2013-09-30 09:55:02,0.380165289256198,0.141329258976318,27.9814019772269
"21","120_CSJC","CS_JC_2ndcross","CS_JC","none","A","2ndcross",2013-09-20,2013-09-30 10:33:57,16.4713165484482,641.470823147478,7.42486007117952,0.428534493326206,246.699999570847,6.20000004768372,0.799999952316284,19,241.899999380112,4.05000007152557,1.5,21,-0.0361842105263158,-0.228159457167091,15,20.9974997743612,"CS_JC","none","A","2ndcross",2013-09-20,2013-09-30 10:33:57,-0.0361842105263158,-0.228159457167091,20.9974997743612
"22","121_CSBJC","CS_JC_2ndcross","CS_JC","none","B","2ndcross",2013-09-20,2013-09-30 09:38:02,18.0458378949957,685.768451688905,7.90810690649329,0.408730368263892,255.700000047684,3.64999997615814,0.600000143051147,29,247.700000524521,2.04999995231628,1.59999990463257,21,0.1456844420011,0.314189189189189,17,24.9800270387978,"CS_JC","none","B","2ndcross",2013-09-20,2013-09-30 09:38:02,0.1456844420011,0.314189189189189,24.9800270387978
"23","122_CSJC","CS_JC_2ndcross","CS_JC","none","D","2ndcross",2013-09-20,2013-09-30 10:25:33,15.8208310468211,500.481894283826,7.42417076553079,0.450754026886577,220.900000333786,2.60000002384186,1.29999995231628,40,208.099999904633,2.10000002384186,1.79999995231628,38,-0.0747474747474747,-0.121212121212121,12,20.9233256382223,"CS_JC","none","D","2ndcross",2013-09-20,2013-09-30 10:25:33,-0.0747474747474747,-0.121212121212121,20.9233256382223
"24","123_CSBTP","CS_TP_2ndcross","CS_TP","none","A","2ndcross",2013-09-20,2013-09-30 09:45:46,15.2803956461713,491.485263007502,8.44485159234094,0.524014481848744,204.899999856949,5.24999988079071,1.44999992847443,28,193.300000190735,2,2.20000004768372,29,0.201037613488975,-0.122518822724162,12,25.3065742899313,"CS_TP","none","A","2ndcross",2013-09-20,2013-09-30 09:45:46,0.201037613488975,-0.122518822724162,25.3065742899313
"25","124_CSTP","CS_TP_2ndcross","CS_TP","none","B","2ndcross",2013-09-20,2013-09-30 10:09:59,16.9964861103179,602.665440152842,8.11011777892354,0.452995054789705,225.299999475479,11.2000000476837,1.40000009536743,15,222.100000143051,2.29999995231628,2.19999992847443,18,0.389277389277389,0.633255633255633,15,32.7917086500816,"CS_TP","none","B","2ndcross",2013-09-20,2013-09-30 10:09:59,0.389277389277389,0.633255633255633,32.7917086500816
"26","125_CSTP","CS_TP_2ndcross","CS_TP","none","C","2ndcross",2013-09-20,2013-09-30 10:32:20,15.9714383814351,772.396290471139,6.96620732727819,0.421364081933737,273.300000190735,21.6000000238419,1.70000004768372,7,270.799999713898,18.7999999523163,2.45000004768372,8,0.214921576939381,0.894409937888199,24,18.1691949282689,"CS_TP","none","C","2ndcross",2013-09-20,2013-09-30 10:32:20,0.214921576939381,0.894409937888199,18.1691949282689
"27","126_CSBVS","CS_BS_2ndcross","CS_BS","none","A","2ndcross",2013-09-20,2013-09-30 10:25:34,12.6565203927077,450.476140389751,7.69140750022963,0.555074804831785,255.599999427795,3.20000004768372,1.30000007152557,24,251.000000238419,2.59999990463257,2,23,-0.299347954949615,-0.139817629179331,15,15.4865667302054,"CS_BS","none","A","2ndcross",2013-09-20,2013-09-30 10:25:34,-0.299347954949615,-0.139817629179331,15.4865667302054
"28","127_CSBVS","CS_BS_2ndcross","CS_BS","none","B","2ndcross",2013-09-20,2013-09-30 09:58:00,17.3626962342324,710.185764991569,6.25425326649773,0.333756956969838,241.300000190735,16.7000000476837,2.75,10,238.5,11.7999999523163,4.60000014305115,11,-0.265368852459016,-0.290199809705043,17,17.4897624921563,"CS_BS","none","B","2ndcross",2013-09-20,2013-09-30 09:58:00,-0.265368852459016,-0.290199809705043,17.4897624921563
"29","128_CSTZ","CS_TZ_2ndcross","CS_TZ","none","A","2ndcross",2013-09-20,2013-09-30 10:05:28,16.4501324692721,283.521069218392,7.37160861265437,0.421996240914548,101.699999809265,45.5,46.2999999523163,3,101.599999904633,0.100000143051147,12.0499999523163,8,0.311881188118812,0.551708428246014,7,25.2873671108866,"CS_TZ","none","A","2ndcross",2013-09-20,2013-09-30 10:05:28,0.311881188118812,0.551708428246014,25.2873671108866
"30","129_CSTZ","CS_TZ_2ndcross","CS_TZ","none","B","2ndcross",2013-09-20,2013-09-30 10:26:37,15.1424400359778,550.273448655759,8.13010235415576,0.498688747101624,214.599999904633,40.5,7.29999995231628,5,215.899999856949,9.20000004768372,23.1499999761581,4,0.77560414269275,0.36600790513834,12,44.7461056581852,"CS_TZ","none","B","2ndcross",2013-09-20,2013-09-30 10:26:37,0.77560414269275,0.36600790513834,44.7461056581852
"31","130_CSTZ","CS_TZ_2ndcross","CS_TZ","none","C","2ndcross",2013-09-20,2013-09-30 10:24:54,16.4412787167993,718.485578812123,7.29914751273788,0.407903472440293,274.600000143051,7,0.799999952316284,13,276.200000286102,7.60000014305115,1.79999995231628,8,0.158931082981716,0.829885057471264,22,16.8083179973994,"CS_TZ","none","C","2ndcross",2013-09-20,2013-09-30 10:24:54,0.158931082981716,0.829885057471264,16.8083179973994
