"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","group"
"26 CS_TP_2ndcross",-2.38974580785387,1.35792423671252,-0.308958260561698,0.190845686096893,0.5318483320034,-0.0463927363286217,-0.125793094222172,0.425353817001423,-0.250505536007656,0.0872621546587912,-0.0325107302395371,0.257280501193548,"CS_TP"
"27 CS_BS_2ndcross",0.648561191511917,-0.955501488675224,-1.23684178029638,0.954966215640476,0.914317371966173,0.186939988113004,0.215740923280451,-0.805064319711132,-0.147537857790989,-0.0131646915534672,0.0827733436770781,-0.275763799877803,"CS_BS"
"28 CS_BS_2ndcross",-1.80950349255258,-0.877011736861823,0.460616758229067,-1.37828711146445,0.0144459035480456,0.825449723444763,0.0920204178586585,-0.188101274926293,0.404836965414713,-0.164299732166309,-0.0652204753877778,0.100911177103746,"CS_BS"
"29 CS_TZ_2ndcross",1.5736430277813,1.15896267249428,1.1367874236732,-3.57589280854602,0.862468555930757,-1.10620880260268,-0.741018713202214,0.957733715445535,0.205463781741314,-0.00047679357492969,0.0731258310870451,-0.114796748687682,"CS_TZ"
"30 CS_TZ_2ndcross",1.77701880035833,4.17022814386443,0.326583113429331,-6.8322534586592,2.58626388865918,0.253894273352779,-2.15780745054652,-1.39819234128436,0.0732457736272476,0.281817809177022,0.244352100640007,-0.0825655799754311,"CS_TZ"
"31 CS_TZ_2ndcross",-2.16539537435391,1.0385894137402,0.0291016228703947,0.429798013724743,0.710876289673358,0.222513149018318,0.0695958309814249,0.765431769698111,-0.0434999066636917,0.141907223316305,0.11854824476823,-0.026834736932917,"CS_TZ"
"32 CS_TZ_2ndcross",-0.167708854668822,-0.236962994673723,0.525610717891244,-1.54126033334124,-0.148500000107534,0.0392962827959087,0.443234302638562,0.312391625971646,0.196363714088014,0.258695566628471,-0.0843564081495602,0.0125167589689197,"CS_TZ"
"33 CS_JC_2ndcross",1.15296457311936,-0.0254902187111496,2.0882651687565,-1.86619877876106,-0.994612548545554,0.369662637529918,-0.0689316986467605,0.690106479864284,0.419368829963362,-0.296956662473805,-0.0452663263596267,-0.337848348025855,"CS_JC"
"34 CS_JC_2ndcross",2.0594310763913,-1.89065197028876,2.33767192231603,0.00856485219862635,-1.28113844506069,-1.25335809879143,-0.660365004665456,0.585068999933087,-0.0543414132452349,0.147482326131219,0.0538737625512559,-0.145209402332819,"CS_JC"
"35 CS_JC_2ndcross",2.24372178188949,-1.81758139454407,1.44675491787884,0.0963214226424115,-1.05810961954206,1.13696651307199,-0.975245474942795,-0.505586549319551,0.465704048442205,-0.174643552689753,0.136309965497922,-0.148647952819162,"CS_JC"
"36 CS_TP_2ndcross",1.36050675155467,1.10743028653442,-1.30582950674342,0.730324771158785,0.022648458844121,0.124119380250037,0.49908602792256,-0.00760691688269485,0.581586971726638,0.285209716016951,-0.088545538632136,-0.2741239957713,"CS_TP"
"37 CS_TP_2ndcross",0.98681764203382,1.0552353597179,0.945488912526084,0.156478458920982,-0.610096602943315,1.56384734942852,0.19421967282611,-0.0514811777408439,1.26280069599472,-0.0573232058482289,0.00793666276958465,0.151857065760154,"CS_TP"
"38 CS_TP_2ndcross",1.12044095774928,-0.0615266998804001,0.545278666113581,0.604807731871425,-0.0615001448931769,-0.358298785259715,-0.282378644715735,-0.174078976463892,0.0895104999704768,-0.337903469783419,0.226855019888893,-0.0722459728508015,"CS_TP"
"39 CS_TP_2ndcross",5.33587862093954,2.5605070399317,0.515861375781716,-1.61175011173205,-0.391831682149928,-0.41733802116808,0.3481532056457,-0.994331785762102,-0.336877157253986,-1.38694793295159,-0.279759850901522,-0.00678662914635897,"CS_TP"
"40 CS_BS_2ndcross",4.41654632496304,-2.93552621887857,-1.34474758771371,-0.354206131135897,-0.0415844621894444,0.00399686037783409,-0.184212237256538,0.500663717269195,0.268023037813059,-0.639178266067159,0.509528884691486,0.210899802917781,"CS_BS"
"41 CS_BS_2ndcross",-3.15368969885596,-0.92701978338754,0.55367091927605,-0.726605617322357,0.0611827815517019,0.868775338406343,-0.366970192737599,0.530114390047086,-0.574482896651354,-0.0652279294371851,-0.173965618741831,0.0860573288132888,"CS_BS"
"42 CS_BS_2ndcross",3.19980450352555,-2.67672704028728,-0.786531852118584,0.749723937926125,-0.245097176635728,0.567387027351657,-0.334275235470821,-0.0550173583751346,0.111133315747816,0.211485535762225,-0.0739099111778938,0.0028593983888634,"CS_BS"
