"","id","group","genotype","treatment","machine","other","date","timeofday","length_experiment","median_speed","distance_traveled_mm__permin","turning_angle","meander","activitytime_permin_ST","act_bouts_ST","pause_duration_ST","numb_pause_permin_ST","activitytime_permin_TT","act_bouts_TT","pause_length_TT","numb_pauses_permin_TT","centrophobism_moving","centrophobism_sitting","number_of_walks_permin","stripe_deviation"
"14","113_CSHS","CS_HS_2ndcross","CS_HS","none","B","2ndcross",2013-09-20,2014-10-23 09:01:33,4.99833333094915,17.5043203812578,703.351363872246,5.35418828743534,0.282689515802924,47.3557851507835,9.20000004768372,2.60000002384186,3.60120040185114,46.9156386639599,11.9000000953674,2.45000004768372,4.0013337798346,-0.37435367114788,0.31711880261927,4.20140046882633,8.38196332208661
"15","114_CSHS","CS_HS_2ndcross","CS_HS","none","C","2ndcross",2013-09-20,2014-10-23 09:07:50,4.97833333015442,10.8642467972323,174.942796045308,9.35072789822006,0.787054728913289,32.1794442406885,17.9000000953674,0.900000095367432,2.20957482564929,33.1837964820567,28.4500000476837,7.74999988079071,0.80348175478156,-0.377260981912145,-0.625620207487596,1.20522263217234,9.58109394045136
"16","115_CSHS","CS_HS_2ndcross","CS_HS","none","D","2ndcross",2013-09-20,2014-10-23 10:03:23,4.99833333094915,15.0400845157097,333.161620425231,5.9165218002113,0.361686820683991,28.5095030859223,5,4.40000009536743,4.20140046882633,27.4891630865435,4.15000009536743,5.70000004768372,4.40146715781806,-0.397769516728625,-0.738453554748313,1.80060020092557,7.07442556349231
"17","116_CSTZ","CS_TZ_2ndcross","CS_TZ","none","A","2ndcross",2013-09-20,2014-10-23 09:02:35,4.99833333094915,16.4458535986374,559.448643819633,6.6415191380091,0.370782071300769,39.6132044680621,11.6999999284744,0.74999988079071,2.0006668899173,39.4131377313708,9.14999997615814,1.39999985694885,1.80060020092557,0.436341161928307,-0.467148014440433,2.80093364588422,29.8137906343903
"18","117_CSTZ","CS_TZ_2ndcross","CS_TZ","none","B","2ndcross",2013-09-20,2014-10-23 09:12:13,4.99833333094915,12.896540339053,60.2270539197681,11.6131908545589,0.82839549502646,7.08236080938708,1.29999995231628,4,2.20073357890903,7.10236750690602,0.550000071525574,11.3999998569489,3.80126709084287,0.323809523809524,-0.910490511994271,0,33.5986150045939
"19","118_CSTZ","CS_TZ_2ndcross","CS_TZ","none","C","2ndcross",2013-09-20,2014-10-23 09:27:26,4.99833333094915,21.6350837464293,832.369508706354,5.74553668643794,0.24687917640193,53.6978993444601,3.89999997615814,0.700000047683716,5.80193398076016,54.0180059800674,7.89999997615814,1.29999995231628,3.80126709084287,-0.0336633663366337,0.72736520854527,6.20206735874362,10.5046372214744
"20","119_CSTZ","CS_TZ_2ndcross","CS_TZ","none","D","2ndcross",2013-09-20,2014-10-23 09:55:02,4.99833333094915,14.7033046398303,523.296728951988,7.74348162895568,0.491716412188396,46.2554185521275,6.20000004768372,1.15000009536743,4.40146715781806,45.3951316559041,5.39999997615814,2,4.20140046882633,0.380165289256198,0.141329258976318,2.40080026790076,27.9814019772269
"21","120_CSJC","CS_JC_2ndcross","CS_JC","none","A","2ndcross",2013-09-20,2014-10-23 10:33:57,4.99833333094915,16.4713165484482,641.470823147478,7.42486007117952,0.428534493326206,49.3564520884004,6.20000004768372,0.799999952316284,3.80126709084287,48.3961319430804,4.05000007152557,1.5,4.20140046882633,-0.0361842105263158,-0.228159457167091,3.00100033487595,20.9974997743611
"22","121_CSBJC","CS_JC_2ndcross","CS_JC","none","B","2ndcross",2013-09-20,2014-10-23 09:38:02,4.99833333492279,18.0458378949957,685.768451688905,7.90810690649329,0.408730368263892,51.1570523440557,3.64999997615814,0.600000143051147,5.80193397614766,49.5565189287935,2.04999995231628,1.59999990463257,4.20140046548624,0.1456844420011,0.314189189189189,3.40113371015553,24.9800270387978
"23","122_CSJC","CS_JC_2ndcross","CS_JC","none","D","2ndcross",2013-09-20,2014-10-23 10:25:33,4.99833333492279,15.8208310468211,500.481894283826,7.42417076553079,0.450754026886577,44.194731629918,2.60000002384186,1.29999995231628,8.00266755330712,41.6338779270005,2.10000002384186,1.79999995231628,7.60253417564177,-0.0747474747474747,-0.121212121212121,2.40080026599214,20.9233256382223
"24","123_CSBTP","CS_TP_2ndcross","CS_TP","none","A","2ndcross",2013-09-20,2014-10-23 09:45:46,4.99833333492279,15.2803956461713,491.485263007502,8.44485159234094,0.524014481848743,40.993664513196,5.24999988079071,1.44999992847443,5.60186728731499,38.6728909895164,2,2.20000004768372,5.80193397614766,0.201037613488975,-0.122518822724162,2.40080026599214,25.3065742899313
"25","124_CSTP","CS_TP_2ndcross","CS_TP","none","B","2ndcross",2013-09-20,2014-10-23 10:09:59,4.99833333094915,16.9964861103179,602.665440152842,8.11011777892354,0.452995054789705,45.0750249248976,11.2000000476837,1.40000009536743,3.00100033487595,44.434811653683,2.29999995231628,2.19999992847443,3.60120040185114,0.389277389277389,0.633255633255633,3.00100033487595,32.7917086500816
"26","125_CSTP","CS_TP_2ndcross","CS_TP","none","C","2ndcross",2013-09-20,2014-10-23 10:32:20,4.99833333094915,15.9714383814351,772.396290471139,6.96620732727819,0.421364081933737,54.6782261395994,21.6000000238419,1.70000004768372,1.40046682294211,54.1780593217209,18.7999999523163,2.45000004768372,1.60053351193384,0.214921576939381,0.894409937888199,4.80160053580151,18.1691949282689
"27","126_CSBVS","CS_BS_2ndcross","CS_BS","none","A","2ndcross",2013-09-20,2014-10-23 10:25:34,4.99833333094915,12.6565203927077,450.476140389751,7.69140750022963,0.555074804831785,51.1370455918071,3.20000004768372,1.30000007152557,4.80160053580151,50.2167389846238,2.59999990463257,2,4.60153384680979,-0.299347954949615,-0.139817629179331,3.00100033487595,15.4865667302054
"28","127_CSBVS","CS_BS_2ndcross","CS_BS","none","B","2ndcross",2013-09-20,2014-10-23 09:58:00,4.99833333492279,17.3626962342324,710.185764991569,6.25425326649773,0.333756956969838,48.2760920534849,16.7000000476837,2.75,2.00066688832678,47.7159052865937,11.7999999523163,4.60000014305115,2.20073357715946,-0.265368852459016,-0.290199809705043,3.40113371015553,17.4897624921563
"29","128_CSTZ","CS_TZ_2ndcross","CS_TZ","none","A","2ndcross",2013-09-20,2014-10-23 10:05:28,4.99833333094915,16.4501324692721,283.521069218392,7.37160861265437,0.421996240914548,20.3467822322992,45.5,46.2999999523163,0.600200066975189,20.3267755824799,0.100000143051147,12.0499999523163,1.60053351193384,0.311881188118812,0.551708428246014,1.40046682294211,25.2873671108866
"30","129_CSTZ","CS_TZ_2ndcross","CS_TZ","none","B","2ndcross",2013-09-20,2014-10-23 10:26:37,4.99833333094915,15.1424400359778,550.273448655759,8.13010235415576,0.498688747101624,42.9343114385454,40.5,7.29999995231628,1.00033344495865,43.1943981246947,9.20000004768372,23.1499999761581,0.800266755966919,0.77560414269275,0.36600790513834,2.40080026790076,44.7461056581852
"31","130_CSTZ","CS_TZ_2ndcross","CS_TZ","none","C","2ndcross",2013-09-20,2014-10-23 10:24:54,4.99833333492279,16.4412787167993,718.485578812123,7.29914751273788,0.407903472440293,54.9383127820732,7,0.799999952316284,2.60086695482482,55.2584195128252,7.60000014305115,1.79999995231628,1.60053351066142,0.158931082981716,0.829885057471264,4.40146715431892,16.8083179973994
"32","131_CSTZ","CS_TZ_2ndcross","CS_TZ","none","D","2ndcross",2013-09-20,2014-10-23 10:32:51,4.99833333492279,16.4092037755439,489.699153026583,6.71172445301234,0.387694463609609,36.1920640766109,19.9499999284744,4.94999992847443,1.60053351066142,35.7919306035463,8.74999988079071,5.10000002384186,2.00066688832678,0.075224292615597,-0.157014157014157,2.20073357715946,19.1566756811405
"33","132_CSJC","CS_JC_2ndcross","CS_JC","none","A","2ndcross",2013-09-26,2014-10-23 15:24:20,4.99833333094915,9.42844536286438,2.6851132046579,26.3236798557633,2.30794334355972,0.320106683306921,1.59999990463257,148.649999976158,0.40013337798346,0.460153375141055,0.100000023841858,26.3000001907349,1.80060020092557,-0.875,-0.999330431871443,0,21.1816734157854
"34","133_CSJC","CS_JC_2ndcross","CS_JC","none","B","2ndcross",2013-09-26,2014-10-23 15:39:58,4.99833333094915,18.7399411333501,331.782623237523,7.33729051252688,0.370691484668902,24.3081026647956,4.90000009536743,3.79999995231628,3.40113371285941,23.1677225280028,2,5.80000019073486,3.40113371285941,0.1280276816609,-0.209737827715356,1.00033344495865,29.8512325793223
"35","134_CSJC","CS_JC_2ndcross","CS_JC","none","C","2ndcross",2013-09-26,2014-10-23 15:39:34,4.99833333492279,17.2576717972553,135.484593189518,6.96032395743639,0.365307322046556,11.4238079132661,1.49999988079071,1.90000009536743,5.00166722081695,10.163388164757,0.5,2.69999980926514,7.40246748680909,-0.0523560209424084,-0.000381533765738268,0.600200066498034,15.2772527502777
